n_Length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_AtSign,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,label
72,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,2,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
29,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
35,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
176,3,10,0,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
103,4,1,2,3,1,3,0,2,0,0,0,0,0,0,0,0,4,1,1
56,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,3,2,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
173,2,3,1,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
31,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,2,1,2,9,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
111,2,1,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
70,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,2,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,3,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,4,0,1,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
221,2,1,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
105,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,5,11,0,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
226,3,0,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,2,1,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
33,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
